input(v_pp), output(v_pp), frequency
8.6, 1.6, 5 
9.8, 3.2, 10 
10.2, 6.2, 20 
10.2, 8.6, 30 
10.2, 9.4, 35 
10.40, 10.00, 40 
10.4, 10.4, 45 
10.4, 10.4, 47
10.4, 10.2, 55 
10.40, 9.8, 60 
10.4, 8.80, 70 
10.60, 7.00, 100 
10.60, 5.80, 125 
10.60, 4.80, 150
10.60, 3.80, 200
10.60, 3.00, 250
10.40, 2.00, 400
