input(v_pp), output(v_pp), frequency
10.2, 10.2, 2
10.4, 10.0, 3
10.2, 10.0, 4 
10.2, 9.8, 5 
10.2, 9.6, 6 
10.1, 9.4, 7
10.2, 9.2, 8 
10.2, 9.0, 9 
10.2, 8.8, 10 
10.2, 8.6, 11 
10.2, 8.4, 12 
10.2, 8.2, 13 
10.2, 8, 14 
10.1, 7.7, 15
10.2, 6.8, 20 
10.2, 6, 25 
10, 4.8, 35
10.2, 3.6, 50 
10.2, 2.6, 75 
10.2, 2, 100 
10.2, 0.520, 150 
10.2, 0.200, 250
