input(v_pp), output(v_pp), frequency
9.60, 2.00,  10 
10.00, 3.80, 20
10.2, 5.6, 30 
10.3, 7.1, 40 
10.4, 7.8, 50 
10.4, 8.6, 60 
10.6, 9.2, 70 
10.6, 9.6, 80 
10.6, 9.9, 90 
10.6, 10.0, 100 
10.6, 10.3, 110 
10.6, 10.4, 120 
10.8, 10.4, 130
10.6, 10.5, 140 
10.6, 10.6, 150 
10.7, 10.7, 250
