input(v_pp), output(v_pp), frequency
10.2, 0.072, 8
10.2, 0.080, 10 
10.2, 0.128, 15
10.2, 0.192, 20
10.2, 0.256, 25 
10.2, 0.304, 30
10.2, 0.344, 35
10.2, 0.392, 40
10.2, 0.416, 45
10.2, 0.428, 50
10.2, 0.432, 55
10.4, 0.448, 60
10.4, 0.456, 65
10.2, 0.440, 70
10.2, 0.432, 75
10.2, 0.432, 80
10.4, 0.400, 100
10.4, 0.352, 125
10.4, 0.296, 150
10.4, 0.224, 200
